,long,lat,City,Country,Date,Cloudiness,Humidity,Max Temp,Wind Speed
0,-125.6436585090591,-19.403786647738258,rikitea,pf,1600201334,1,72,73.53,3.6
1,145.3407373972911,85.73642868825056,chokurdakh,ru,1600201341,99,88,38.28,8.14
2,-53.40210273155651,-72.16934240714048,ushuaia,ar,1600201261,40,80,35.6,20.8
4,119.23558630884173,65.79877403068764,verkhnevilyuysk,ru,1600201688,2,95,42.15,3.29
6,101.51078722145462,-57.25237906344086,busselton,au,1600201346,23,79,53.01,8.86
8,81.6019612425539,6.2122965444117,hambantota,lk,1600201689,40,100,78.8,9.17
9,120.34775055389059,28.01175076875431,wenzhou,cn,1600201689,100,82,78.01,1.86
11,36.61966412338697,85.39728583790009,vardo,no,1600201689,75,87,44.6,8.05
12,-6.604883752662232,-39.6797657222995,jamestown,sh,1600201591,1,48,66.99,3.36
13,-72.63175672465542,-16.354420697509198,camana,pe,1600201690,100,74,63.36,7.4
14,177.58631020011416,-66.73799068446289,kaitangata,nz,1600201348,44,40,55.0,8.99
17,144.94618691667887,-45.376015772357725,new norfolk,au,1600201345,100,71,48.0,1.01
18,159.51099886839643,64.30414218869416,evensk,ru,1600201690,83,74,41.94,2.59
19,81.4398420529024,-30.111151406893384,bambous virieux,mu,1600201690,75,82,66.99,12.75
20,-119.75807500127962,12.333724898434014,cabo san lucas,mx,1600201691,20,66,91.0,10.29
21,-44.4304899434627,41.769786689876014,torbay,ca,1600201343,90,54,57.99,9.17
22,-137.38754495401548,1.0499445871517707,atuona,pf,1600201334,20,78,78.17,18.1
25,-100.83804522649837,-81.91757098267624,punta arenas,cl,1600201237,20,56,41.0,27.51
26,23.248394925219515,-89.89461918894727,bredasdorp,za,1600201335,22,76,51.8,3.36
27,144.4475074740593,-35.936469566996095,deniliquin,au,1600201691,82,90,43.0,5.46
30,82.16720407280201,78.6446996217228,dikson,ru,1600201692,100,95,43.92,24.4
31,127.23103259632938,29.09774765416425,naze,jp,1600201692,75,88,80.6,5.82
32,-104.85187557610918,70.4326058630977,yellowknife,ca,1600201692,20,37,35.6,13.87
33,-0.5320790748159823,11.88419819351168,garango,bf,1600201692,10,67,82.65,7.92
34,-164.6184517287188,16.571171419866403,kapaa,us,1600201693,40,62,84.2,12.75
35,31.37204143028572,76.54335238142318,berlevag,no,1600201347,75,86,42.8,8.05
36,67.32630649791278,-36.21780629627678,mahebourg,mu,1600201693,75,82,64.4,12.75
37,-96.09997328444975,21.18667064794117,tecolutla,mx,1600201693,40,62,87.8,13.87
39,4.621555293531145,9.703309692084432,kishi,ng,1600201694,87,93,73.36,3.85
42,-93.75829024664631,56.61781442266687,thompson,ca,1600201338,75,50,51.8,16.11
43,-77.75655604920892,9.716877429424216,ailigandi,pa,1600201694,54,68,85.78,7.96
45,166.79072305835018,-30.60339377387467,ahipara,nz,1600201337,21,77,57.72,11.07
46,152.96201948739804,-65.29954756303388,hobart,au,1600201673,90,81,48.99,4.7
47,129.15703169706887,-49.36227523327583,port lincoln,au,1600201694,100,61,55.42,7.25
48,-87.9795050522738,88.58450255904319,qaanaaq,gl,1600201337,0,83,23.83,3.24
50,-14.043150553271118,44.53352364411592,muros,es,1600201695,62,88,64.99,1.01
51,176.7543333999384,15.963409579896137,butaritari,ki,1600201340,83,73,83.57,20.07
52,112.20286726998842,64.04606626703259,chernyshevskiy,ru,1600201695,56,81,42.22,1.97
53,129.49815377548106,30.40545311745285,kaseda,jp,1600201695,99,94,73.0,3.0
57,110.17800440123085,39.951592904547084,dongsheng,cn,1600201696,0,52,46.36,11.5
58,141.15136803836646,12.388720319494993,airai,pw,1600201696,22,82,53.67,3.09
61,-89.01532586972051,23.61972781844139,dzilam gonzalez,mx,1600201696,42,53,92.34,4.59
64,-171.2141144848193,-61.45613928452095,vaini,to,1600201337,40,73,75.2,12.75
65,0.9022589690781615,-43.48275133460638,cape town,za,1600201339,12,71,55.0,5.82
66,175.94347085690106,64.26718770131203,anadyr,ru,1600201697,40,100,44.6,13.42
67,-121.44377838717763,59.142722870750475,fort nelson,ca,1600201697,40,50,51.8,9.17
70,-162.54310437650275,-63.493419501930106,mataura,pf,1600201338,99,78,45.0,13.0
71,75.66287220566466,22.038049587990827,kasrawad,in,1600201697,100,89,78.22,5.14
72,-39.18496165193079,88.13770506686444,ilulissat,gl,1600201698,75,42,48.2,14.99
73,57.10384179961068,23.283660565408468,nizwa,om,1600201698,100,36,84.33,2.84
74,104.45878894323795,23.119586532650402,mabai,cn,1600201698,100,100,62.85,2.59
75,-44.50090998973113,31.57263812071787,ribeira grande,pt,1600201333,40,59,66.2,6.93
76,54.37559790780648,68.4502592814678,iskateley,ru,1600201698,87,89,46.69,13.24
81,-42.16537164873924,-6.77564434267066,oeiras,br,1600201699,34,26,93.6,9.86
82,148.77679990622823,47.276888484087294,vostok,ru,1600201699,100,99,48.09,1.39
84,159.9120508896985,-55.70015208920646,tuatapere,nz,1600201699,100,78,45.0,13.0
85,13.955727772918635,-24.128495987866515,walvis bay,na,1600201699,0,71,55.0,3.36
87,-38.06920610414386,-6.982068863087164,coremas,br,1600201700,77,27,92.5,10.04
88,-163.37722707381332,49.861319928035584,bethel,us,1600201335,1,39,66.99,4.79
89,-124.93045302765788,23.478988154247574,san quintin,mx,1600201700,0,41,84.04,12.59
90,-5.119704438501373,40.43435195728469,avila,es,1600201700,46,55,68.0,3.27
92,-65.36864982224876,72.24310085958749,clyde river,ca,1600201700,90,79,35.6,11.41
93,176.665952894626,-34.439239163984695,ngunguru,nz,1600201700,0,3,55.0,7.0
94,133.47471980661936,64.34040170802015,churapcha,ru,1600201338,0,94,36.25,3.29
96,-11.455334385436913,7.237986767371424,bomi,sl,1600201701,100,96,73.89,1.81
98,-165.02014297764626,-51.25833179545084,avarua,ck,1600201599,57,65,77.0,16.11
103,87.71448029666624,-18.706052004953563,bengkulu,id,1600201509,54,91,74.66,4.81
104,-85.86914806158583,21.61845109614552,isla mujeres,mx,1600201701,75,70,89.6,10.29
105,-168.7480841847534,-27.5595536991499,alofi,nu,1600201701,75,78,75.2,19.46
106,-164.4510747603242,78.74481523195311,barrow,us,1600201702,90,85,35.6,25.28
108,26.684193284414988,-25.090016998511118,mmathubudukwane,bw,1600201702,88,16,69.8,2.24
110,92.72339860500426,46.04319696328912,hami,cn,1600201702,100,25,64.26,1.88
111,-142.1596734781262,60.89533235897315,haines junction,ca,1600201703,50,39,55.89,1.86
112,-66.55301528430213,27.05774850910838,hamilton,bm,1600201696,1,46,75.99,5.82
114,126.01055364880563,88.87700071058902,tiksi,ru,1600201343,4,91,36.21,1.48
115,174.75671559305738,76.05247385266523,komsomolskiy,ru,1600201703,0,39,64.4,2.24
116,120.98683551793425,-41.01239435327557,albany,au,1600201336,0,45,62.01,2.98
118,-120.98569138523558,43.397739842690555,bend,us,1600201425,1,15,81.0,3.47
119,92.23198883546121,66.48876117815664,svetlogorsk,ru,1600201704,1,92,57.58,1.66
122,66.40966166323068,-15.152081757491914,grand gaube,mu,1600201704,94,70,66.99,3.0
123,98.17873784357704,20.915176645509305,taunggyi,mm,1600201704,100,100,64.29,2.8
126,-53.03508077473926,-46.62682554107518,mar del plata,ar,1600201335,0,33,62.6,17.22
127,-28.85205184533112,10.937836536718748,sao filipe,cv,1600201705,78,81,80.01,9.31
128,149.22001989111817,64.76092343639385,zyryanka,ru,1600201705,100,93,44.19,7.65
133,-73.78082481090212,-6.697951661488503,mancio lima,br,1600201705,75,74,84.2,3.36
135,162.03867851951156,51.412537270950736,petropavlovsk-kamchatskiy,ru,1600201705,99,71,50.0,6.71
136,-33.33417835968325,71.0326924691372,tasiilaq,gl,1600201336,100,94,33.8,26.4
137,-104.23431791202682,56.03986076877686,la ronge,ca,1600201706,90,57,51.8,16.11
138,-2.606876326308196,55.733840522106135,earlston,gb,1600201706,98,85,64.99,3.89
140,119.87781199153659,11.012244963390614,casian,ph,1600201706,100,82,80.91,17.63
142,-132.6065946322098,76.40606158136458,tuktoyaktuk,ca,1600201349,90,84,32.0,11.41
143,177.76595885915532,-24.025519305636067,isangel,vu,1600201707,75,88,69.8,16.42
144,-88.4889017439561,-32.87124082404774,lebu,cl,1600201333,100,87,53.1,10.38
145,-111.01649868072343,25.88559181251763,loreto,mx,1600201707,56,50,73.94,7.36
147,59.25843598489482,-9.815637116387819,victoria,sc,1600201479,3,88,82.0,8.01
148,44.72341512638428,8.050760733410044,odweyne,so,1600201707,53,51,79.5,14.5
149,-66.58995452191462,58.95638740901882,iqaluit,ca,1600201708,40,67,41.0,17.22
150,-97.60279544805076,-13.503365116001802,puerto ayora,ec,1600201335,20,61,77.0,21.92
151,18.427398158029916,-36.24793158211318,hermanus,za,1600201708,24,91,46.0,6.91
152,-12.020718415279987,9.704365139349136,kamakwie,sl,1600201708,99,96,74.41,5.55
154,159.65473985823166,26.552132938849937,hasaki,jp,1600201708,75,100,68.0,6.93
156,-64.57786741301138,-23.391453053151693,san ramon de la nueva oran,ar,1600201709,95,46,77.0,1.99
157,-86.27661847182662,31.53659407710434,troy,us,1600201481,1,49,71.6,9.17
158,107.9410511217165,88.98775973763316,khatanga,ru,1600201340,100,90,47.7,5.03
160,-60.99254832946585,31.108978820140365,saint george,bm,1600201347,1,10,95.0,4.21
161,88.10216129489277,-25.13495397107225,carnarvon,au,1600201709,0,100,64.4,13.87
164,-125.90404639622847,11.596343710966451,constitucion,mx,1600201346,100,81,55.13,4.7
168,158.76585773044332,-77.70965198726434,bluff,nz,1600201343,100,78,45.0,13.0
169,-21.489913555263854,55.12926504861392,vestmannaeyjar,is,1600201710,53,70,47.7,9.08
171,147.3347646922153,2.1650057640364224,lorengau,pg,1600201710,100,76,82.18,7.83
182,-50.7007982749318,79.72842115390276,upernavik,gl,1600201711,0,84,28.56,10.94
183,11.430990761672717,-1.4555417655365375,mimongo,ga,1600201711,100,90,71.55,4.9
187,-28.702134945454475,-40.29356030712725,arraial do cabo,br,1600201340,40,78,75.2,14.99
191,16.888168546944513,50.89797136096993,strzelin,pl,1600201711,0,82,69.01,6.93
192,26.75781121936754,50.83429375409045,hoshcha,ua,1600201712,0,77,61.45,0.67
193,-53.60161011275751,26.15473449586605,codrington,ag,1600201712,100,88,43.74,8.55
